time(s),A,B,C,D
7824,208,86,238,-58
7825,-278,272,-87,236
7826,43,73,-211,38
7827,-199,228,233,93
7828,226,20,-229,148
7829,236,-24,-160,132
7830,-294,181,219,267
7831,212,92,15,64
7832,163,161,-42,-266
7833,-246,290,-112,9
7834,-130,-195,236,-234
7835,-66,226,-246,-135
7836,-187,-186,-96,208
7837,187,-278,117,198
7838,262,269,-295,-68
7839,-266,-261,-219,-212
7840,-139,0,-210,-298
7841,3,-86,152,-111
7842,211,131,90,-233
7843,160,-122,-6,25
7844,-254,-209,-174,-267
7845,-112,99,-245,180
7846,-150,31,269,176
7847,106,-210,15,-21
7848,195,-181,-32,64
7849,203,189,-1,-148
7850,46,210,236,202
7851,-232,-23,292,-294
7852,290,13,30,-1
7853,-199,126,-261,-160
7854,-298,-272,146,13
7855,-94,163,34,140
7856,-46,-255,-77,203
7857,33,-208,198,93
7858,115,245,-291,193
7859,44,209,-162,6
7860,-229,-261,-205,-234
7861,289,207,172,-149
7862,37,117,-131,72
7863,-241,107,237,-24
7864,-300,-2,154,-237
7865,32,-232,-1,-78
7866,279,29,-194,-190
7867,272,152,106,204
7868,-156,-89,-220,168
7869,-248,225,130,-212
7870,29,-5,4,276
7871,152,-193,89,-171
7872,-219,151,-203,58
7873,29,-275,132,252
7874,177,129,-254,-23
7875,280,242,-15,-212
7876,-118,-50,211,226
7877,38,296,67,133
7878,167,5,237,-283
7879,3,-184,-187,-4
7880,10,275,-18,-22
7881,-181,191,47,-40
7882,77,-119,265,8
7883,196,-141,-179,103
7884,-80,-77,-264,-6
7885,75,-61,205,12
7886,-66,49,-300,-181
7887,-28,-192,209,107
7888,-222,-81,-289,-277
7889,-186,41,-265,264
7890,262,117,116,15
7891,199,-1,-104,4
7892,-165,5,125,-120
7893,232,-112,116,199
7894,75,196,283,-248
7895,74,-73,-148,-91
7896,-70,-103,-166,74
7897,144,-240,-17,99
7898,230,-208,211,193
7899,147,-47,293,72
7900,47,180,286,164
7901,-221,-260,281,135
7902,-288,104,267,48
7903,20,-142,-92,2
7904,31,-177,298,-2
7905,163,-224,-173,252
7906,-76,-266,187,-177
7907,202,-72,-299,191
7908,292,-278,104,-224
7909,257,283,65,-161
7910,185,259,-39,229
7911,127,-73,255,-127
7912,-10,202,-6,-176
7913,163,53,203,-20
7914,-148,82,232,-184
7915,158,-81,136,26
7916,263,-63,274,243
7917,293,-189,90,71
7918,-157,270,57,216
7919,-116,100,233,-292
7920,61,40,91,-71
7921,-117,-94,-211,259
7922,-259,-126,47,12
7923,-36,-99,-154,-276
7924,187,-227,207,11
7925,-56,-33,92,44
7926,-55,272,-133,-256
7927,-229,116,-259,-190
7928,-43,-273,-158,-272
7929,-142,291,-56,-84
7930,247,-296,-33,-139
7931,80,202,-272,-54
7932,191,-191,225,-34
7933,-6,98,40,-155
7934,290,110,229,97
7935,-212,-286,55,-205
7936,-30,169,-27,-271
7937,-170,-152,146,-55
7938,-287,-103,-22,-32
7939,-277,41,197,5
7940,97,55,-175,-286
7941,-291,193,51,183
7942,-104,-7,-117,-155
7943,73,112,-192,-130
7944,100,-110,277,-52
7945,40,-219,-295,-39
7946,-64,231,-92,-160
7947,71,27,-277,-295
7948,-275,-251,-284,-164
7949,-202,106,-271,-200
7950,-24,-239,-63,253
7951,161,294,-290,149
7952,-272,-293,79,176
7953,-242,230,-177,-3
7954,-274,29,33,-271
7955,18,-81,120,285
7956,-192,16,135,298
7957,268,-236,276,-288
7958,-128,-69,179,228
7959,-292,5,-240,91
7960,-170,60,116,151
7961,232,153,-5,-110
7962,122,4,-8,149
7963,206,39,-67,87
7964,-93,197,53,-118
7965,-137,-65,-250,-59
7966,26,-285,264,-28
7967,-278,-164,28,206
7968,-116,117,153,43
7969,-112,28,-271,217
7970,34,-291,62,129
7971,-274,-8,-299,63
7972,-277,-262,81,-296
7973,96,-146,-151,-195
7974,27,197,-17,-112
7975,-293,253,193,-141
7976,-252,-26,248,-40
7977,30,-222,73,181
7978,205,-161,-68,250
7979,281,114,36,228
7980,270,-138,277,-186
7981,-36,-147,80,-113
7982,271,-33,-131,21
7983,29,-18,295,-276
7984,185,136,-174,155
7985,260,-265,61,-163
7986,-218,274,-112,249
7987,-58,109,-163,120
7988,-290,155,-224,-296
7989,-27,-16,-159,-154
7990,14,181,-108,88
7991,-230,-191,109,-80
7992,32,-85,-138,208
7993,-52,292,249,143
7994,-35,113,-53,-29
7995,15,3,151,-79
7996,57,163,-102,-233
7997,-39,-27,170,-201
7998,289,-30,136,-85
7999,-16,8,-69,118
8000,-55,110,290,118
8001,-251,30,217,-55
8002,120,-150,162,39
8003,-109,-16,-168,-157
8004,-163,-121,257,-77
8005,85,-252,133,-211
8006,-222,127,-234,233
8007,189,-44,-12,143
8008,-190,-183,-34,70
8009,135,270,-117,136
8010,235,247,267,-25
8011,170,-220,127,63
8012,-210,289,-41,-52
8013,135,187,61,-67
8014,270,-202,-194,-91
8015,-8,-258,94,-241
8016,181,112,225,269
8017,137,-112,-260,188
8018,-72,278,-165,-216
8019,-142,11,265,132
8020,198,-277,127,95
8021,2,-74,-68,-225
8022,238,-25,69,-201
8023,-35,247,-111,225
8024,42,-80,-45,-2
8025,77,131,-54,-298
8026,240,-298,-127,197
8027,252,184,97,108
8028,-197,279,175,-135
8029,273,-103,147,251
8030,-282,-257,121,269
8031,-176,-122,192,-155
8032,15,-80,-261,-184
8033,16,-298,220,216
8034,251,-43,91,-241
8035,-100,69,-262,-286
8036,116,-220,279,-135
8037,-218,266,-272,-139
8038,293,217,-185,8
8039,-53,13,-282,114
8040,-79,52,-71,3
8041,-193,43,-89,-112
8042,-43,-62,-298,-232
8043,163,160,196,-185
8044,4,276,106,-2
8045,192,-279,35,279
8046,-213,145,117,91
8047,-70,237,117,-291
8048,77,-102,-30,-236
8049,-165,-294,-152,-88
8050,238,93,-193,-292
8051,-102,256,-125,284
8052,-185,-130,180,202
8053,4,-285,-265,9
8054,-184,-251,122,-288
8055,-189,289,72,-152
8056,-284,244,-152,89
8057,265,-227,-197,-163
8058,-243,89,8,-41
8059,69,162,171,-49
8060,-226,-19,108,-294
8061,292,39,-116,-226
8062,-279,-91,-74,227
8063,26,285,132,108
8064,-110,-236,-189,-239
8065,138,123,-216,-151
8066,-85,-259,255,-9
8067,82,159,50,-136
8068,295,82,222,-122
8069,-106,268,-196,-177
8070,168,120,50,6
8071,-224,84,294,168
8072,150,246,-172,265
8073,191,264,46,-139
8074,150,-199,109,43
8075,-115,-44,282,-267
8076,-292,-31,94,-226
8077,-189,272,255,-46
8078,-290,-164,-75,-261
8079,199,39,169,-183
8080,159,168,-153,-158
8081,-239,-196,200,-57
8082,40,-230,-67,-250
8083,60,154,195,0
8084,91,164,-76,-75
8085,156,171,253,-90
8086,211,156,-60,267
8087,-96,206,-195,-211
8088,209,-233,6,187
8089,122,-95,32,159
8090,-102,-252,20,-280
8091,-121,-13,-280,60
8092,228,-47,24,-99
8093,282,221,174,6
8094,43,49,-47,-179
8095,-29,57,179,245
8096,62,-137,-222,-66
8097,6,135,156,271
8098,140,-144,212,-264
8099,-82,-101,14,-93
8100,193,161,188,-70
8101,254,196,-171,-39
8102,10,-65,89,-210
8103,237,-17,140,-126
8104,168,-151,-38,299
8105,-45,-167,75,-132
8106,-24,-244,-126,-173
8107,42,175,18,-197
8108,142,55,-134,265
8109,-100,-39,-147,-212
8110,-43,115,224,88
8111,212,-177,164,-217
8112,-93,30,-155,10
8113,-68,30,41,1
8114,-111,-57,190,189
8115,-239,125,295,-249
8116,217,51,99,-282
8117,-137,-81,-142,128
8118,-77,123,-219,-123
8119,215,115,4,95
8120,-22,-77,196,201
8121,-270,265,155,-124
8122,-135,75,-222,51
8123,285,-280,22,144
8124,83,158,-96,-268
8125,-30,128,-64,-276
8126,78,-140,32,-42
8127,223,-69,167,-244
8128,201,221,-298,243
8129,144,235,-16,132
8130,-81,-16,-205,166
8131,235,250,82,64
8132,225,-297,-5,-237
8133,205,-127,258,-108
8134,95,-283,120,-177
8135,-119,-222,-194,152
8136,-166,59,-96,266
8137,-19,50,-238,-18
8138,266,-137,7,-229
8139,-204,255,-172,-137
8140,194,-156,-45,-239
8141,84,-267,-246,173
8142,-285,-27,151,27
8143,97,216,-202,60
8144,-100,196,-162,261
8145,-65,171,58,151
8146,188,135,41,269
8147,-99,-189,-217,-188
8148,-143,179,-88,-146
8149,-242,227,199,-145
8150,-167,29,-194,203
8151,235,-59,242,-157
8152,-179,216,111,173
8153,101,173,122,-137
8154,158,-118,263,257
8155,-218,32,129,183
8156,206,-149,-10,-56
8157,293,30,-206,211
8158,202,88,278,142
8159,50,-218,-203,113
8160,-159,62,-78,136
8161,204,-56,184,277
8162,112,-294,-250,248
8163,250,-116,230,92
8164,98,262,-193,-32
8165,201,57,45,-140
8166,-194,17,118,-198
8167,107,-192,-88,208
8168,-128,-294,-259,-125
8169,69,192,-140,115
8170,-243,274,-240,168
8171,92,-81,-45,265
8172,-274,-298,-12,99
8173,100,197,-71,255
8174,-76,-140,-158,-202
8175,159,282,258,-109
8176,221,63,-113,111
8177,95,-235,119,268
8178,286,-23,131,-100
8179,212,213,163,-137
8180,-51,-224,249,195
8181,-202,-96,-214,271
8182,-162,-241,-138,20
8183,258,93,275,171
8184,-99,-91,285,-250
8185,-24,-11,-174,-24
8186,-262,31,-185,-118
8187,-213,-167,-240,-234
8188,229,172,140,-19
8189,97,-89,-247,96
8190,-105,-154,94,277
8191,-78,110,267,104
8192,29,173,-132,-50
8193,157,101,-200,271
8194,-294,208,134,23
8195,-14,-139,-292,171
8196,230,129,-39,253
8197,170,87,108,114
8198,100,-106,96,-30
8199,129,-272,-197,-57
8200,42,-117,-2,135
8201,-72,253,-246,251
8202,259,57,48,286
8203,4,274,-139,-213
8204,148,225,225,184
8205,97,-275,186,6
8206,94,-90,-207,-282
8207,-83,147,214,-17
8208,8,49,163,151
8209,-19,-182,-278,168
8210,104,-35,82,-187
8211,-239,-81,131,-22
8212,191,283,-136,41
8213,-250,94,79,48
8214,-70,29,43,208
8215,68,157,-111,-190
8216,120,-148,-214,136
8217,-259,12,-34,256
8218,-94,65,96,103
8219,-168,-6,-135,-206
8220,-283,39,144,34
8221,-171,254,151,260
8222,-210,24,-271,-138
8223,-233,66,-250,123
8224,183,103,191,-296
8225,-194,-207,-285,-246
8226,55,168,74,-136
8227,-270,102,-40,-251
8228,121,-53,-293,-4
8229,-179,-225,30,-96
8230,-229,-52,96,175
8231,-82,-214,-212,-234
8232,163,174,251,263
8233,200,-41,-56,-206
8234,22,-156,186,299
8235,157,-264,102,257
8236,105,-220,-296,93
8237,246,203,223,-129
8238,-115,234,93,99
8239,34,-33,-82,-95
8240,-197,272,50,27
8241,183,10,30,178
8242,170,-36,103,277
8243,-123,61,31,62
8244,-225,-258,-79,-101
8245,34,-196,-89,151
8246,-56,-270,-160,244
8247,-23,-85,243,140
8248,207,-153,37,-173
8249,-171,-141,34,198
8250,-100,-68,99,270
8251,28,263,-103,138
8252,-225,-272,-39,88
8253,-146,-36,241,-157
8254,-208,109,265,-270
8255,-53,170,200,49
8256,-216,289,135,-163
8257,50,-217,28,-92
8258,-19,-23,213,-252
8259,237,155,-232,217
8260,156,83,-225,81
8261,11,257,144,-213
8262,-66,-91,103,228
8263,-169,0,250,104
8264,-254,-36,46,132
8265,121,258,203,-164
8266,299,76,-2,-281
8267,-58,-213,9,75
8268,181,153,-155,-224
8269,228,-2,-94,283
8270,228,-41,-105,-138
8271,177,264,155,268
8272,-45,-233,-40,270
8273,296,-248,132,-7
8274,-192,131,-225,-8
8275,198,-211,272,-205
8276,-145,125,96,-204
8277,264,228,-257,-66
8278,90,-32,-284,47
8279,-12,133,114,80
8280,-229,-155,-296,-185
8281,-257,-24,-14,-129
8282,-83,-26,-204,-238
8283,86,172,81,120
8284,134,-179,70,-112
8285,258,288,258,-16
8286,24,-63,124,154
8287,90,-196,-259,-251
8288,113,114,-266,263
8289,-248,22,134,269
8290,56,-210,30,-54
8291,200,-189,-65,156
8292,-89,-235,-186,257
8293,-30,198,-63,-203
8294,233,-157,-32,257
8295,-54,194,106,47
8296,-229,37,-137,184
8297,108,-81,153,176
8298,-31,-98,27,87
8299,-3,173,256,167
8300,41,91,156,-276
8301,-244,198,-95,112
8302,-121,24,136,-51
8303,97,136,-29,290
8304,46,244,259,149
8305,4,-51,153,-169
8306,191,292,268,39
8307,-58,45,278,-20
8308,211,-84,119,242
8309,-200,83,105,205
8310,-89,186,-81,29
8311,-84,-174,211,-265
8312,44,13,175,272
8313,91,-298,-124,142
8314,-96,292,-142,222
8315,-46,-117,63,-100
8316,179,290,-16,232
8317,140,-213,-287,142
8318,151,139,190,-228
8319,-147,14,-140,2
8320,153,294,-171,-86
8321,152,-100,-25,134
8322,141,180,58,-136
8323,137,29,244,-142
8324,-288,-20,-74,34
8325,-13,-190,-88,-280
8326,282,-226,-121,-264
8327,161,13,-250,-232
8328,296,187,-266,225
8329,-257,8,26,-145
8330,-273,-66,-238,-277
8331,196,-231,-242,-282
8332,-268,76,233,-61
8333,74,124,182,222
8334,195,120,-170,-149
8335,88,137,-80,235
8336,-290,-106,-228,-213
8337,-277,-26,-65,145
8338,-298,72,18,45
8339,225,213,-266,250
8340,-118,174,-219,-44
8341,168,-166,103,173
8342,-35,206,110,-244
8343,-103,-236,-253,281
8344,146,30,-121,-118
8345,-173,188,-7,-79
8346,-241,-217,-29,-34
8347,186,136,-60,155
8348,193,-185,-224,-267
8349,72,207,-251,158
8350,47,-156,-228,-141
8351,190,205,-27,7
8352,-205,248,149,291
8353,-254,186,84,-211
8354,-281,166,-164,78
8355,-227,116,-178,130
8356,177,235,-261,-252
8357,-297,233,78,77
8358,260,-39,-66,-218
8359,268,137,-113,212
8360,-34,233,152,25
8361,153,188,-157,-224
8362,239,215,-2,-82
8363,-201,33,96,49
8364,154,294,-125,-83
8365,4,289,171,40
8366,-131,143,-89,-72
8367,-241,80,-196,-291
8368,134,21,-8,45
8369,207,-54,208,-129
8370,160,-197,-162,-266
8371,216,286,179,241
8372,-224,-195,163,225
8373,250,-297,-173,290
8374,81,-230,-145,-270
8375,-190,-144,248,276
8376,163,6,-65,-24
8377,-272,295,287,36
8378,-143,197,-24,23
8379,1,-169,-175,-120
8380,-127,-125,-174,-148
8381,223,16,-234,233
8382,-23,252,88,73
8383,-260,-14,242,13
8384,-167,232,-159,-217
8385,-11,-12,-217,107
8386,-295,277,78,262
8387,-57,113,-154,-164
8388,-236,75,-154,202
8389,-102,261,-183,-284
8390,273,-17,-208,125
8391,-142,237,197,114
8392,65,-137,195,-117
8393,-212,-124,-147,-11
8394,-2,-284,-89,-299
8395,79,46,47,168
8396,89,-161,-203,90
8397,14,-234,-137,-214
8398,-82,102,59,-216
8399,213,-30,288,-18
8400,172,55,275,145
8401,-193,-57,-105,86
8402,-230,-42,-91,206
8403,-102,7,230,183
8404,-157,-189,-32,209
8405,191,-96,-48,25
8406,198,45,-9,219
8407,33,-125,70,36
8408,-157,261,88,-160
8409,241,-135,132,257
8410,-244,-261,60,38
8411,-1,-199,-172,-273
8412,-28,246,-213,-215
8413,80,207,16,227
8414,-186,-238,-2,-228
8415,-227,-21,-136,258
8416,-149,133,59,-205
8417,103,-83,-16,260
8418,80,-105,75,212
8419,-115,92,-146,187
8420,-90,281,299,-10
8421,10,225,-292,-178
8422,163,276,210,9
8423,-38,-116,-225,-44
8424,-191,152,-147,244
8425,254,-83,-63,37
8426,5,-14,14,-226
8427,-54,181,-232,125
8428,214,202,-243,236
8429,-40,201,186,-35
8430,-287,176,214,-52
8431,190,131,-291,-51
8432,105,-277,285,32
8433,-93,-6,-37,-80
8434,-258,-275,39,-294
8435,-102,57,4,-62
8436,73,-271,4,-46
8437,184,21,273,155
8438,123,283,117,-100
8439,15,-30,54,-187
8440,188,270,261,-128
8441,263,-99,-257,-83
8442,183,-171,142,-59
8443,104,81,-243,24
8444,109,-21,230,250
8445,114,-140,-104,-158
8446,257,-52,155,298
8447,283,-270,-10,-107
8448,-254,-198,-45,258
8449,74,70,-122,-35
8450,-271,-153,45,100
8451,253,258,152,-210
8452,-235,-172,183,84
8453,267,8,20,-128
8454,147,-138,188,184
8455,59,-248,-232,100
8456,295,-139,287,-210
8457,82,-9,-209,-20
8458,172,43,163,-182
8459,248,2,-281,215
8460,-88,-265,126,125
8461,88,242,180,163
8462,-251,277,191,205
8463,-66,256,195,268
8464,158,-80,268,-200
8465,34,-254,224,-193
8466,-276,110,-14,138
8467,-112,-3,22,196
8468,115,12,-239,-224
8469,-241,-137,-162,-203
8470,-193,113,29,240
8471,-136,158,-85,161
8472,-209,135,283,-265
8473,218,242,-281,-106
8474,292,143,-281,86
8475,-10,91,-61,-149
8476,-215,-68,25,-293
8477,-86,-185,-271,98
8478,-94,-188,207,-69
8479,-275,266,47,-46
8480,-230,-69,155,86
8481,37,209,-125,-167
8482,216,-255,28,-122
8483,-190,52,279,-64
8484,50,61,89,-193
8485,-92,225,-62,217
8486,-240,149,290,62
8487,-223,123,-124,-203
8488,177,195,180,-135
8489,264,196,141,239
8490,-295,-228,-76,293
8491,156,-8,-108,-201
8492,157,-50,-125,114
8493,-40,49,28,174
8494,-235,260,-31,-139
8495,148,-244,-282,157
8496,-251,288,245,-71
8497,-218,-63,-236,280
8498,-72,78,87,147
8499,-243,166,-145,265
8500,-261,-53,-107,22
8501,-191,-28,109,252
8502,236,182,-210,23
8503,293,1,213,70
8504,157,152,-101,-126
8505,-58,90,-258,7
8506,-275,208,138,216
8507,267,-297,-207,213
8508,120,-90,-256,-243
8509,-136,81,-50,-254
8510,-47,20,-6,70
8511,-154,-145,-292,239
8512,68,-152,199,-60
8513,-30,-100,-75,-139
8514,-275,-198,-24,-128
8515,-83,9,125,154
8516,91,-25,-250,51
8517,105,-63,-160,4
8518,-109,-244,-144,-141
8519,215,92,168,-106
8520,-44,-115,173,-214
8521,-131,-142,-39,-183
8522,-40,-50,242,-117
8523,27,-59,125,253
8524,-190,271,-56,-262
8525,-22,-96,230,57
8526,31,78,7,-289
8527,-106,106,-30,-49
8528,-270,-298,190,118
8529,98,17,29,-166
8530,201,-50,-241,91
8531,-261,204,10,-172
8532,115,-56,-88,23
8533,73,-106,15,229
8534,228,191,-123,-226
8535,-249,-135,60,127
8536,-14,141,296,-92
8537,-264,-297,7,-5
8538,-66,248,-4,86
8539,-165,227,93,203
8540,37,139,-136,204
8541,286,-5,270,188
8542,-11,237,202,-259
8543,104,-255,123,-178
8544,-230,-257,-87,76
8545,43,-64,-269,37
8546,216,17,249,-232
8547,214,-87,-104,-205
8548,-119,239,-243,245
8549,-180,254,177,-199
8550,-77,297,-157,-145
8551,-182,247,-19,-117
8552,265,-60,-68,240
8553,-277,-37,186,-218
8554,-290,-50,35,273
8555,51,-266,-247,185
8556,-204,-53,264,-138
8557,11,-2,-16,242
8558,71,-83,-234,233
8559,44,-241,-200,34
8560,157,206,-232,-10
8561,259,-87,58,-45
8562,160,267,113,-60
8563,53,-105,-117,15
8564,-248,-107,79,224
8565,39,214,-39,-117
8566,-261,-148,-88,57
8567,29,-97,223,233
8568,-156,25,-26,-270
8569,-295,-262,18,-60
8570,-57,-125,52,-21
8571,-181,245,-290,-214
8572,228,20,-248,171
8573,192,276,-2,-284
8574,-103,132,-238,-184
8575,37,163,-242,36
8576,67,-5,132,-157
8577,2,8,-165,-128
8578,148,252,256,271
8579,118,203,-245,-166
8580,62,-132,181,-180
8581,272,286,229,193
8582,161,-165,-201,-23
8583,258,-183,-224,9
8584,51,2,139,-184
8585,-160,148,-276,-131
8586,256,42,284,31
8587,-257,187,-294,-209
8588,10,19,66,95
8589,160,134,247,257
8590,-250,-171,-128,-225
8591,95,-93,156,251
8592,288,98,-258,127
8593,265,-107,133,122
8594,263,-277,180,-133
8595,178,-219,47,-76
8596,-214,-41,272,-34
8597,25,-138,-153,-154
8598,-6,-151,3,-126
8599,196,241,255,78
8600,-165,265,256,56
8601,0,205,-78,103
8602,256,53,-99,205
8603,248,-29,-245,-41
8604,140,-101,192,-95
8605,-2,23,71,-197
8606,-89,-73,236,280
8607,-257,-221,-281,146
8608,128,192,-13,186
8609,-68,-271,-4,277
8610,-11,-248,-21,-269
8611,150,216,239,-237
8612,-240,-256,276,242
8613,220,-222,279,17
8614,240,-177,158,-121
8615,-238,-125,-222,-295
8616,-164,268,-21,180
8617,-245,-241,251,47
8618,205,-83,-281,37
8619,221,52,33,43
8620,279,160,128,-102
8621,151,-100,-273,-277
8622,3,-283,286,-15
8623,-25,-262,275,236
8624,-153,181,-176,-186
8625,-162,149,-79,126
8626,233,83,267,209
8627,194,192,-293,201
8628,285,64,43,149
8629,-214,-170,161,-192
8630,-263,-130,-41,151
8631,-289,-157,222,183
8632,160,-208,48,33
8633,-246,193,133,15
8634,245,120,182,-71
8635,-266,-283,171,-60
8636,-118,179,262,23
8637,71,-82,-98,-36
8638,41,109,197,27
8639,280,-277,218,-135
8640,-38,-33,62,184
8641,-27,120,-51,-129
8642,261,233,-249,-11
8643,-263,85,-89,174
8644,-260,293,-213,139
8645,-53,-150,-269,202
8646,41,-209,87,-197
8647,256,271,140,-252
8648,217,-254,-279,227
8649,-134,13,49,253
8650,256,-64,-281,-264
8651,128,-201,-172,-58
8652,-92,210,186,207
8653,-99,179,102,243
8654,-186,-65,59,72
8655,-281,41,197,-33
8656,-298,-20,-18,111
8657,-88,278,252,115
8658,132,-21,-27,284
8659,50,186,177,-224
8660,246,123,-211,192
8661,95,67,160,286
8662,181,-98,149,-217
8663,-220,-287,-220,-136
8664,157,116,204,-43
8665,-12,233,182,266
8666,-123,-13,280,-207
8667,-90,92,74,-246
8668,-281,186,-246,-170
8669,191,-89,-68,265
8670,5,211,297,179
8671,142,-251,-49,-27
8672,221,10,-277,-85
8673,257,95,223,112
8674,250,-118,-225,75
8675,127,55,170,-168
8676,-66,255,102,-267
8677,-157,111,-124,56
8678,100,182,27,174
8679,171,-154,-52,-186
8680,-112,251,-154,210
8681,-21,4,-209,-247
8682,-28,289,153,-167
8683,-175,53,274,-293
8684,-289,86,297,-223
8685,109,103,-294,134
8686,170,-218,-215,-292
8687,-80,-59,217,231
8688,-177,-234,219,273
8689,67,-178,-266,206
8690,71,-293,-8,3
8691,-53,227,-114,-6
8692,-57,212,-178,-52
8693,-68,265,-62,237
8694,153,82,-161,253
8695,-272,268,-288,-216
8696,166,-2,79,-52
8697,-79,197,-247,-109
8698,231,-298,-61,-263
8699,172,172,125,-174
8700,-279,-268,140,-284
8701,217,294,280,279
8702,214,158,194,294
8703,-252,-89,35,256
8704,22,106,220,-227
8705,111,288,178,160
8706,221,-167,-53,132
8707,88,-261,-98,-140
8708,276,-151,238,218
8709,-129,129,-5,157
8710,237,285,-296,-186
8711,194,-134,180,13
8712,-265,216,-12,188
8713,119,-278,-217,172
8714,41,-143,-22,-149
8715,-17,239,-128,-288
8716,53,-108,-191,149
8717,127,-16,-141,-55
8718,50,57,-239,-279
8719,200,-154,140,-266
8720,-43,-138,101,-180
8721,-55,196,287,248
8722,42,-12,43,97
8723,-48,17,31,-95
8724,-222,294,-228,13
8725,138,226,243,-213
8726,83,136,94,-4
8727,-185,116,159,-247
8728,242,14,-234,174
8729,-2,67,148,130
8730,111,-75,-83,-37
8731,22,22,-179,121
8732,189,168,175,-292
8733,-275,129,80,-171
8734,-163,197,-148,-5
8735,-42,-66,-212,56
8736,290,-9,283,156
8737,101,-2,14,88
8738,227,81,-142,-46
8739,-288,184,151,-142
8740,-230,-70,-152,42
8741,102,-37,-78,139
8742,-124,181,-43,-108
8743,-38,26,-293,152
8744,-149,212,50,12
8745,38,138,-13,-239
8746,-15,241,0,35
8747,-214,83,4,-289
8748,79,-192,-248,126
8749,143,-91,99,-96
8750,109,-25,135,-142
8751,156,16,284,233
8752,-121,298,164,-120
8753,-189,147,67,232
8754,-36,255,-100,-51
8755,-64,-236,-266,-286
8756,-97,-187,18,17
8757,283,152,25,211
8758,133,180,-189,-169
8759,195,95,127,80
8760,-285,-279,-131,97
8761,-257,214,48,38
8762,270,30,-18,-240
8763,-198,-223,5,-275
8764,-28,-188,-119,218
8765,12,-235,219,-32
8766,122,-124,220,272
8767,-105,249,80,-167
8768,-139,192,-13,-105
8769,58,193,-99,-220
8770,-107,279,116,55
8771,117,-53,-277,-98
8772,-36,-173,201,69
8773,117,279,171,206
8774,226,-166,-48,-180
8775,281,20,269,-290
8776,-237,-205,-222,-53
8777,-236,257,-293,179
8778,-92,-163,114,191
8779,-195,116,-73,221
8780,-265,-209,-144,-148
8781,-170,195,222,-128
8782,34,122,-92,-203
8783,-196,-88,-107,227
8784,-128,-233,285,-68
8785,-83,-108,116,-165
8786,89,22,91,78
8787,-143,6,-254,187
8788,-299,-119,290,270
8789,41,87,266,93
8790,-267,66,12,-160
8791,266,258,69,287
8792,-273,-147,-279,-140
8793,-278,143,270,29
8794,32,-144,85,211
8795,-201,159,102,82
8796,249,117,252,175
8797,-276,-202,15,-115
8798,-222,-8,150,56
8799,-186,256,189,-194
8800,-162,157,-33,109
8801,286,-164,277,209
8802,-230,-80,9,-202
8803,-295,73,-226,217
8804,0,-265,30,-126
8805,-56,-80,-189,10
8806,258,-75,-220,-21
8807,-69,-56,-104,-133
8808,167,200,29,266
8809,-283,-183,-256,192
8810,150,-88,209,49
8811,280,207,-82,127
8812,-183,-162,180,-37
8813,126,-177,-151,111
8814,-267,-3,235,-72
8815,-286,-90,-33,178
8816,-8,32,-268,-72
8817,-161,168,-162,-169
8818,247,-50,55,291
8819,-10,-170,156,207
8820,59,15,-149,96
8821,253,40,118,286
8822,278,-239,-55,223
8823,4,124,208,212
8824,-173,173,124,-58
8825,-170,264,-76,-250
8826,53,220,-45,292
8827,70,-229,-57,-279
8828,-260,165,280,-169
8829,149,166,-272,-127
8830,270,222,288,34
8831,58,8,44,-185
8832,-188,194,-261,-200
8833,-202,120,-183,196
8834,253,124,-162,244
8835,-184,184,-168,250
8836,-123,14,-120,-50
8837,2,24,-116,-73
8838,-245,-264,280,190
8839,-25,213,85,-29
8840,196,253,205,-283
8841,-255,116,-124,4
8842,162,246,-15,-186
8843,-56,-222,145,246
8844,82,-180,236,-188
8845,233,112,63,144
8846,186,-239,-116,277
8847,112,153,9,238
8848,17,120,256,-117
8849,-84,-193,-179,-118
8850,64,253,54,-282
8851,193,12,164,297
8852,-114,298,-114,-91
8853,19,283,20,24
8854,-186,218,-147,257
8855,-229,-70,-158,266
8856,227,-221,-203,229
8857,-122,-98,-87,-92
8858,-246,287,60,-238
8859,-296,82,112,-293
8860,-126,-216,47,89
8861,-158,-91,10,267
8862,-288,-2,268,142
8863,-154,-192,-6,213
8864,285,255,-67,-5
8865,-193,-10,264,-192
8866,119,-63,-42,-250
8867,145,-154,217,288
8868,237,152,132,-154
8869,12,-276,258,166
8870,-167,-267,188,170
8871,32,-14,-274,153
8872,-242,40,-163,-96
8873,123,-70,229,-265
8874,-1,-192,-35,244
8875,-231,49,-201,127
8876,226,241,11,-274
8877,156,43,-288,-10
8878,114,270,-124,204
8879,-191,224,130,231
8880,-150,231,-113,39
8881,-169,-273,132,-45
8882,189,91,177,18
8883,-294,-234,74,-161
8884,-254,-231,-175,-291
8885,-83,151,83,230
8886,-39,183,116,-155
8887,-21,-149,298,-235
8888,-241,174,-231,144
8889,-262,237,-226,-217
8890,-236,-233,-167,-189
8891,155,-56,180,-98
8892,220,16,19,-108
8893,-94,-276,-23,-170
8894,231,58,70,202
8895,44,298,76,189
8896,-116,-83,-262,-70
8897,47,98,192,-206
8898,-238,-102,207,57
8899,72,-215,255,-233
8900,-30,291,20,253
8901,126,60,245,-118
8902,197,-149,-294,218
8903,172,200,-273,159
8904,126,-121,-203,-80
